loan_amnt,int_rate,term,emp_length_num,annual_inc,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,log_annual_inc,log_loan_amnt,log_revol_bal,loan_to_income,rate_x_term,has_delinq,has_pub_rec,grade,sub_grade,home_ownership,verification_status,purpose
35000.0,18.49,60.0,2.0,125000.0,18.15,0.0,38.0,1.0,48129.0,68.9,11.736077016252437,10.463131911491967,10.781660962297154,0.27999776001791987,1109.3999999999999,0,1,D,D5,RENT,Source Verified,debt_consolidation
14400.0,7.49,36.0,10.0,88186.0,2.24,0.0,32.0,0.0,3587.0,1.7,11.387214838841322,9.575052927597381,8.185350223178686,0.16328937371721455,269.64,0,0,A,A4,MORTGAGE,Verified,debt_consolidation
17500.0,8.49,36.0,10.0,35000.0,19.48,0.0,8.0,1.0,27161.0,47.5,10.463131911491967,9.770013301136157,10.209574216664013,0.4999857146938659,305.64,0,1,B,B1,OWN,Source Verified,debt_consolidation
20000.0,11.48,36.0,10.0,250000.0,10.05,0.0,18.0,0.0,91249.51999999856,59.5,12.765691290604371,9.903537551286169,12.285747593280625,0.05714269387801749,413.28000000000003,0,0,B,B5,OWN,Not Verified,other
21000.0,10.78,36.0,0.0,100000.0,29.75,0.0,24.0,0.0,45269.0,31.3,11.51293546492023,9.952325334619427,10.720399840430003,0.2099979000209998,388.08,0,0,B,B4,MORTGAGE,Not Verified,debt_consolidation
7000.0,11.99,36.0,5.0,43000.0,14.12,0.0,6.0,1.0,2449.0,64.4,10.668978650219241,8.853808274977197,7.803843303538772,0.16278691193228065,431.64,0,1,C,C1,OWN,Verified,home_improvement
15675.0,16.99,60.0,9.0,41000.0,30.71,0.0,10.0,0.0,40372.0,64.6,10.62135173563291,9.659886159319521,10.605916523694313,0.38230774859149774,1019.3999999999999,0,0,D,D3,MORTGAGE,Not Verified,debt_consolidation
9600.0,11.99,36.0,1.0,76899.0,16.54,1.0,10.0,0.0,8615.0,66.3,11.250261155493735,9.169622538697624,9.061376218836225,0.12483745123537061,431.64,1,0,C,C1,MORTGAGE,Not Verified,debt_consolidation
8200.0,5.32,36.0,1.0,49233.0,24.84,1.0,14.0,0.0,3628.0,25.4,10.804339720721092,9.01201137703641,8.19671240721307,0.16655157005321525,191.52,1,0,A,A1,MORTGAGE,Not Verified,debt_consolidation
3600.0,14.85,36.0,10.0,41200.0,34.66,0.0,26.0,1.0,9195.0,82.8,10.626217806887722,8.188966863648876,9.126523885883072,0.08737651998737894,534.6,0,1,C,C5,OWN,Verified,medical
7325.0,10.78,36.0,5.0,40000.0,10.95,0.0,7.0,0.0,6051.0,71.2,10.596659732783579,8.89918494333876,8.708144074908246,0.18312042198945028,388.08,0,0,B,B4,RENT,Verified,debt_consolidation
16000.0,12.88,60.0,6.0,50000.0,19.39,0.0,5.0,0.0,19389.0,89.4,10.819798284210286,9.680406499268875,9.872512748236698,0.31999360012799744,772.8000000000001,0,0,C,C2,RENT,Source Verified,debt_consolidation
35000.0,10.78,36.0,10.0,130000.0,25.24,0.0,17.0,0.0,91249.51999999856,49.4,11.775297421715825,10.463131911491967,12.167913768429402,0.26922869824078277,388.08,0,0,B,B4,OWN,Source Verified,debt_consolidation
